"TRAPMORE, Steve",United Kingdom
"USAMI, Toshio",Japan
"MALMAGRO, Cristian",Spain
"MANNING, Charles David",United States
"AUGUSTIN, Ludovic",Haiti
"DUNAVSKA, Adriana",Bulgaria
"IVANOVA, Ioulia",Russia
"KIELPIKOWSKI, Piotr",Poland
"LARNOE, Henri",Belgium
"MUNDT, Kristina",German Democratic Republic
"PLOOG, Richard Francis",Australia
"FLORIAN, Theodor",Romania
"HOWARD-HILL, Denean Elizabeth",United States
"ANSPACH, Henri",Belgium
"COCHELEA, Veronica",Romania
"ZHANG, Jinjing",China
"WILLIAMS, Steve",United Kingdom
"MUELLER, Martina",Germany
"FÍ S, Rolf",Switzerland
"ROGERS, Gregory",Australia
"JEONG, Soon-Bok","Korea, South"
"BACON, Charles Joseph",United States
"DE BRUINE, Jan Adrianus",Netherlands
"BORCHERT, Katrin",Australia
"LIN, Chao-Huang",Taiwan
"BERZINSH, Yuris",Soviet Union
"WAILES, Richard Donald",United States
"WINSLOW, Charles Lyndhurst",South Africa
"ELLIOTT, John",United Kingdom
"SOUTHALL, Michael George",United Kingdom
"HOFMANN, Wolfgang",United States
"MOORE, Charles Hewes Jr.",United States
"BOCHENEK, Jan",Poland
"SHI, Zhiyong",China
"DIMITROV, Yantcho",Bulgaria
"ROJCEWICZ, Susan Marie",United States
"VAN DEN BERGH, Solko Johannes",Netherlands
"ZAJISEK, Lubomir",Czechoslovakia
"BACHMANN, Albert",Switzerland
"LOPES-SCHLIEP, Priscilla",Canada
"POHJONEN, Aarne",Finland
"BRENNECKE, Gunter",United States
"CHERNIKOV, Valentin",Soviet Union
"MAREN, Juan Luis",Cuba
"SCHMIDT, Ingrid",United States
"SKUJYTE, Austra",Lithuania
"CAVANAUGH, Christopher Carl",United States
"BARINOV, Yuri",Soviet Union
"SMITH, Lester",United States
"SINGH, Trilochan",India
"NACINOVIC, Alvaro",Croatia
"ARMSTRONG, Charles E.",United States
"MAYAUD, Albert",France
"EWRY, Ray",United States
"ZAKHAROVA, Galina",Soviet Union
"OYOKOTA, Tsutomu",Japan
"KIM, Seon-Young","Korea, South"
"BRUNA, Frantisek",Czechoslovakia
"BORZENKOVA, Galina",Unified Team
"SÍńSS, Birgit",German Democratic Republic
"CALDERON, Rosir",Cuba
"PASOKHA, Anna",Soviet Union
"KJERGARD, Per",Denmark
"IVANOVA, Natalya",Russia
"ZOLNIR, Urska",Slovenia
"LOARING, John Wilfred",Canada
"DIETZ, George",United States
"KOUTOUZOVA, Natalia",Russia
"CHASE, Elizabeth Muriel",Zimbabwe
"BARTA, IstvÍn",Hungary
"MCGEE, Pamela Denise",United States
"BROWN, Walter William",Australia
"GOETTE, Jeannette",Germany
"KOSHEVAYA, Marina",Soviet Union
"STEEN, Ingrid",Norway
